"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Core smoke test: deleting a product that exists in cart must return error_code=0 and a response body containing data.sub_total, data.grand_total (>= 0), and data.products. Verifies the delete endpoint is reachable and structurally intact.","1","TC_D01_DeleteValidProduct","[SMOKE] Hasaki.vn API","Mon May 25 06:42:40 UTC 2026","skipped","Mon May 25 06:42:40 UTC 2026","com.testScenarios.DeleteItemInCartTest","Smoke - Cart","com.testScenarios.DeleteItemInCartTest","TC_D01_DeleteValidProduct"
"Data-driven: each row in LoginInvalidData.json (wrong password, empty fields, unknown username, special chars) must produce error_code != 0 and null verify_token. Covers all credential failure modes in one parameterised test.","0","TC_L03_LoginWithInvalidCredentials","[SMOKE] Hasaki.vn API","Mon May 25 06:42:40 UTC 2026","skipped","Mon May 25 06:42:40 UTC 2026","com.testScenarios.LoginTest","Smoke - Authentication","com.testScenarios.LoginTest","TC_L03_LoginWithInvalidCredentials"
"After deleting a product, asserts two critical outcomes:
  (1) data.products list does not contain the deleted product id.
  (2) data.grand_total is non-null and >= 0.
Verifies the delete actually removes the item from the cart state, not just returns a success code.","0","TC_D02_DeletedProductAbsentFromCart","[SMOKE] Hasaki.vn API","Mon May 25 06:42:40 UTC 2026","skipped","Mon May 25 06:42:40 UTC 2026","com.testScenarios.DeleteItemInCartTest","Smoke - Cart","com.testScenarios.DeleteItemInCartTest","TC_D02_DeletedProductAbsentFromCart"
"Cross-feature integration flow:
  Step 1 — GET /filters for 'SON MOI' to retrieve available filter keys.
  Step 2 — Pick the first filter that has at least one value option.
  Step 3 — GET /search with that filter key=value appended as a query param.
Asserts the filtered search returns a valid 200 response with a non-null product list. Validates that filter keys returned by /filters are actually accepted by /search.","0","TC_F11_FilterKeyAppliedToSearchReturnsResults","[SMOKE] Hasaki.vn API","Mon May 25 06:42:40 UTC 2026","skipped","Mon May 25 06:42:40 UTC 2026","com.testScenarios.FilterTest","Smoke - Filter","com.testScenarios.FilterTest","TC_F11_FilterKeyAppliedToSearchReturnsResults"
"Iterates every filter item and checks all five mandatory fields are present and that 'values' is an array type. Catches field removal or structural regressions at the filter-item level.","0","TC_F02_VerifyFilterItemStructure","[SMOKE] Hasaki.vn API","Mon May 25 06:42:40 UTC 2026","skipped","Mon May 25 06:42:40 UTC 2026","com.testScenarios.FilterTest","Smoke - Filter","com.testScenarios.FilterTest","TC_F02_VerifyFilterItemStructure"
"","5","suiteSetup","[SMOKE] Hasaki.vn API","Mon May 25 06:42:40 UTC 2026","broken","Mon May 25 06:42:40 UTC 2026","com.testScenarios.AddToCartTest","Smoke - Cart","com.testScenarios.AddToCartTest","suiteSetup"
"Full user journey through three endpoints:
  Step 1 — GET /filters for 'SON MOI': asserts filters are returned.
  Step 2 — GET /search for 'SON MOI': retrieves product list and picks first id.
  Step 3 — POST /add-to-cart with the first search result id.
Validates the complete upstream dependency chain — a search-result product id must be valid and addable to cart without any intermediate manual step.","0","TC_C09_E2E_FilterSearchAddToCart","[SMOKE] Hasaki.vn API","Mon May 25 06:42:40 UTC 2026","skipped","Mon May 25 06:42:40 UTC 2026","com.testScenarios.AddToCartTest","Smoke - Cart","com.testScenarios.AddToCartTest","TC_C09_E2E_FilterSearchAddToCart"
"product_id=-999 is an impossible value. The server must reject it with error_code != 0 and a non-empty error_message. A 5xx here would indicate the server is not sanitising the input.","1","TC_C04_NegativeProductId","[SMOKE] Hasaki.vn API","Mon May 25 06:42:40 UTC 2026","skipped","Mon May 25 06:42:40 UTC 2026","com.testScenarios.AddToCartTest","Smoke - Cart","com.testScenarios.AddToCartTest","TC_C04_NegativeProductId"
"Deep-validates every entry inside every filter's values array. Asserts key, label, and value are non-null, and that value (product count) is a non-negative integer. Prevents UI rendering crashes from null option data.","0","TC_F03_VerifyFilterValuesStructure","[SMOKE] Hasaki.vn API","Mon May 25 06:42:40 UTC 2026","skipped","Mon May 25 06:42:40 UTC 2026","com.testScenarios.FilterTest","Smoke - Filter","com.testScenarios.FilterTest","TC_F03_VerifyFilterValuesStructure"
"Full cart lifecycle flow:
  Step 1 — POST /add-to-cart: add PRODUCT_VALID with qty=1.
  Step 2 — POST /delete-product: remove the same product.
  Step 3 — Assert: deleted product absent from data.products, grand_total is non-null and >= 0.
This is the canonical cart lifecycle smoke test that must pass before any checkout or payment flow tests are run.","1","TC_D13_E2E_AddThenDeleteVerifyState","[SMOKE] Hasaki.vn API","Mon May 25 06:42:40 UTC 2026","skipped","Mon May 25 06:42:40 UTC 2026","com.testScenarios.DeleteItemInCartTest","Smoke - Cart","com.testScenarios.DeleteItemInCartTest","TC_D13_E2E_AddThenDeleteVerifyState"
