"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"quantity_selected=-1 is an invalid boundary value. Server must not add a negative quantity to the cart or produce a 5xx from an unhandled arithmetic operation.","355","TC_C07_NegativeQuantity","[FULL] Hasaki.vn API - All Tests","Mon May 25 15:23:59 UTC 2026","failed","Mon May 25 15:23:59 UTC 2026","com.testScenarios.AddToCartTest","Full - Add To Cart (All Groups)","com.testScenarios.AddToCartTest","TC_C07_NegativeQuantity"
"Sends the same concept keyword in Vietnamese Unicode ('son môi' with diacritic). Verifies the API handles UTF-8 encoded queries without a 4xx/5xx response and returns a parseable JSON body with products_total present.","598","TC_S06_VietnameseUnicodeKeyword","[FULL] Hasaki.vn API - All Tests","Mon May 25 15:23:33 UTC 2026","passed","Mon May 25 15:23:33 UTC 2026","com.testScenarios.SearchTest","Full - Search (All Groups)","com.testScenarios.SearchTest","TC_S06_VietnameseUnicodeKeyword"
"Core smoke test: searching with a known valid keyword must return error_code=0, products_total > 0, a non-empty product list, and a list size that does not exceed the requested page size.","769","TC_S01_SearchWithValidKeyword","[FULL] Hasaki.vn API - All Tests","Mon May 25 15:23:30 UTC 2026","passed","Mon May 25 15:23:31 UTC 2026","com.testScenarios.SearchTest","Full - Search (All Groups)","com.testScenarios.SearchTest","TC_S01_SearchWithValidKeyword"
"Core smoke test: deleting a product that exists in cart must return error_code=0 and a response body containing data.sub_total, data.grand_total (>= 0), and data.products. Verifies the delete endpoint is reachable and structurally intact.","1080","TC_D01_DeleteValidProduct","[FULL] Hasaki.vn API - All Tests","Mon May 25 15:24:45 UTC 2026","passed","Mon May 25 15:24:46 UTC 2026","com.testScenarios.DeleteItemInCartTest","Full - Delete Cart Item (All Groups)","com.testScenarios.DeleteItemInCartTest","TC_D01_DeleteValidProduct"
"Quantity zero has no business meaning in a cart. The server should either reject the request outright (4xx) or return HTTP 200 with error_code != 0.","907","TC_C06_QuantityZero","[FULL] Hasaki.vn API - All Tests","Mon May 25 15:23:58 UTC 2026","failed","Mon May 25 15:23:59 UTC 2026","com.testScenarios.AddToCartTest","Full - Add To Cart (All Groups)","com.testScenarios.AddToCartTest","TC_C06_QuantityZero"
"Cross-feature integration flow:
  Step 1 — GET /filters for 'SON MOI' to retrieve available filter keys.
  Step 2 — Pick the first filter that has at least one value option.
  Step 3 — GET /search with that filter key=value appended as a query param.
Asserts the filtered search returns a valid 200 response with a non-null product list. Validates that filter keys returned by /filters are actually accepted by /search.","702","TC_F11_FilterKeyAppliedToSearchReturnsResults","[FULL] Hasaki.vn API - All Tests","Mon May 25 15:23:47 UTC 2026","passed","Mon May 25 15:23:48 UTC 2026","com.testScenarios.FilterTest","Full - Filter (All Groups)","com.testScenarios.FilterTest","TC_F11_FilterKeyAppliedToSearchReturnsResults"
"Parameterised negative test: each row in DeleteCartInvalidData.json contains an invalid combination (non-existent product, negative product_id, etc.). Every row must return HTTP < 500; if HTTP 200, error_code must be non-zero and error_message must be non-empty.","1130","TC_D21_DataDriven_InvalidData","[FULL] Hasaki.vn API - All Tests","Mon May 25 15:25:11 UTC 2026","passed","Mon May 25 15:25:12 UTC 2026","com.testScenarios.DeleteItemInCartTest","Full - Delete Cart Item (All Groups)","com.testScenarios.DeleteItemInCartTest","TC_D21_DataDriven_InvalidData"
"Verifies that decreasing quantity (2 → 1) is accepted. Some APIs reject decreases — this test guards against that regression.","1886","TC_U02_DecreaseQuantity","[FULL] Hasaki.vn API - All Tests","Mon May 25 15:24:09 UTC 2026","passed","Mon May 25 15:24:11 UTC 2026","com.testScenarios.UpdateCartTest","Full - Update Cart (All Groups)","com.testScenarios.UpdateCartTest","TC_U02_DecreaseQuantity"
"product_id=9999999 does not exist in the catalogue or any cart. Server must return error_code != 0 rather than silently succeed or 5xx.","352","TC_D06_NonExistentProductId","[FULL] Hasaki.vn API - All Tests","Mon May 25 15:24:53 UTC 2026","passed","Mon May 25 15:24:53 UTC 2026","com.testScenarios.DeleteItemInCartTest","Full - Delete Cart Item (All Groups)","com.testScenarios.DeleteItemInCartTest","TC_D06_NonExistentProductId"
"Parameterised negative test: each row in SearchInvalidData.json contains a keyword that must produce 0 matching products (gibberish strings, impossible combinations). Server must still return error_code=0 with an empty result set — not an error.","384","TC_S21_DataDriven_InvalidKeywords","[FULL] Hasaki.vn API - All Tests","Mon May 25 15:23:40 UTC 2026","passed","Mon May 25 15:23:41 UTC 2026","com.testScenarios.SearchTest","Full - Search (All Groups)","com.testScenarios.SearchTest","TC_S21_DataDriven_InvalidKeywords"
