"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"quantity_selected=-1 is an invalid boundary value. Server must not add a negative quantity to the cart or produce a 5xx from an unhandled arithmetic operation.","533","TC_C07_NegativeQuantity","[FULL] Hasaki.vn API - All Tests","Tue May 26 01:58:27 UTC 2026","failed","Tue May 26 01:58:27 UTC 2026","com.testScenarios.AddToCartTest","Full - Add To Cart (All Groups)","com.testScenarios.AddToCartTest","TC_C07_NegativeQuantity"
"Core smoke test: deleting a product that exists in cart must return error_code=0 and a response body containing data.sub_total, data.grand_total (>= 0), and data.products. Verifies the delete endpoint is reachable and structurally intact.","1166","TC_D01_DeleteValidProduct","[FULL] Hasaki.vn API - All Tests","Tue May 26 01:59:02 UTC 2026","passed","Tue May 26 01:59:03 UTC 2026","com.testScenarios.DeleteItemInCartTest","Full - Delete Cart Item (All Groups)","com.testScenarios.DeleteItemInCartTest","TC_D01_DeleteValidProduct"
"Verifies that decreasing quantity (2 → 1) is accepted. Some APIs reject decreases — this test guards against that regression.","1013","TC_U02_DecreaseQuantity","[FULL] Hasaki.vn API - All Tests","Tue May 26 01:58:36 UTC 2026","passed","Tue May 26 01:58:37 UTC 2026","com.testScenarios.UpdateCartTest","Full - Update Cart (All Groups)","com.testScenarios.UpdateCartTest","TC_U02_DecreaseQuantity"
"Validates the success response structure against AddToCartSchema.json. Ensures field names, types (cart_id as long, products_total as int), and required fields are preserved across deployments.","484","TC_C10_AddToCartResponseSchema","[FULL] Hasaki.vn API - All Tests","Tue May 26 01:58:29 UTC 2026","passed","Tue May 26 01:58:30 UTC 2026","com.testScenarios.AddToCartTest","Full - Add To Cart (All Groups)","com.testScenarios.AddToCartTest","TC_C10_AddToCartResponseSchema"
"Tests boundary values for the pagination params: page=0 and size=0. Neither should cause a 5xx. The server may treat them as page=1/default-size or return a 4xx validation error — either is acceptable.","959","TC_S10_InvalidPaginationParams","[FULL] Hasaki.vn API - All Tests","Tue May 26 01:58:05 UTC 2026","passed","Tue May 26 01:58:06 UTC 2026","com.testScenarios.SearchTest","Full - Search (All Groups)","com.testScenarios.SearchTest","TC_S10_InvalidPaginationParams"
"Search is a high-frequency endpoint called on every user keystroke (debounced). A full-page search response must complete within 3000ms to maintain UX quality.","55","TC_S12_SearchResponseTime","[FULL] Hasaki.vn API - All Tests","Tue May 26 01:58:06 UTC 2026","passed","Tue May 26 01:58:06 UTC 2026","com.testScenarios.SearchTest","Full - Search (All Groups)","com.testScenarios.SearchTest","TC_S12_SearchResponseTime"
"Parameterised negative test: each row in DeleteCartInvalidData.json contains an invalid combination (non-existent product, negative product_id, etc.). Every row must return HTTP < 500; if HTTP 200, error_code must be non-zero and error_message must be non-empty.","551","TC_D21_DataDriven_InvalidData","[FULL] Hasaki.vn API - All Tests","Tue May 26 01:59:21 UTC 2026","passed","Tue May 26 01:59:22 UTC 2026","com.testScenarios.DeleteItemInCartTest","Full - Delete Cart Item (All Groups)","com.testScenarios.DeleteItemInCartTest","TC_D21_DataDriven_InvalidData"
"Sends an update request with no session cookies. The server must deny the operation (401/403/302) or return HTTP 200 with error_code != 0. A successful unauthenticated update is a critical authorisation bypass bug.","408","TC_U12_UnauthenticatedRequest","[FULL] Hasaki.vn API - All Tests","Tue May 26 01:58:51 UTC 2026","passed","Tue May 26 01:58:51 UTC 2026","com.testScenarios.UpdateCartTest","Full - Update Cart (All Groups)","com.testScenarios.UpdateCartTest","TC_U12_UnauthenticatedRequest"
"Tests three missing-field scenarios in a single test to avoid duplication:
  (a) empty body '{}'
  (b) missing product_id (only quantity_selected provided)
  (c) missing quantity_selected (only product_id provided)
All three must return HTTP < 500. Required-field validation must be present.","1373","TC_U11_PartialBody","[FULL] Hasaki.vn API - All Tests","Tue May 26 01:58:50 UTC 2026","passed","Tue May 26 01:58:51 UTC 2026","com.testScenarios.UpdateCartTest","Full - Update Cart (All Groups)","com.testScenarios.UpdateCartTest","TC_U11_PartialBody"
"Delete is triggered from the cart page when the user removes an item. Slow responses here block the cart re-render and degrade the checkout UX. Must complete within 3000ms.","1106","TC_D14_DeleteItemResponseTime","[FULL] Hasaki.vn API - All Tests","Tue May 26 01:59:16 UTC 2026","passed","Tue May 26 01:59:18 UTC 2026","com.testScenarios.DeleteItemInCartTest","Full - Delete Cart Item (All Groups)","com.testScenarios.DeleteItemInCartTest","TC_D14_DeleteItemResponseTime"
