"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Hasaki.vn API Testing","0","Search","1","0","TC-S08: Non-existent keyword — error_code=0, empty result","0"
"0","Hasaki.vn API Testing","0","Authentication","1","0","TC-L04: No CSRF token — documents SEC-001 finding","0"
"0","Hasaki.vn API Testing","0","Search","1","0","TC-S12: Response time < 3000ms","0"
"0","Hasaki.vn API Testing","0","Search","5","0","TC-S20: Data-driven — valid keywords","0"
"0","Hasaki.vn API Testing","0","Search","1","0","TC-S07: has_meta_data=0 — response still valid, no crash","0"
"0","Hasaki.vn API Testing","0","Search","1","0","TC-S04: Pagination — page 1 and page 2 have no overlapping product IDs","0"
"0","Hasaki.vn API Testing","0","Update Product In Cart","3","0","TC-U20: Data-driven — valid product/quantity combinations","0"
"0","Hasaki.vn API Testing","2","Add To Cart","2","0","TC-C21: Data-driven — invalid product/quantity — error_code != 0, no 5xx","0"
"0","Hasaki.vn API Testing","0","Update Product In Cart","1","0","TC-U07: Non-existent product_id — error_code != 0","0"
"0","Hasaki.vn API Testing","2","Update Product In Cart","2","0","TC-U21: Data-driven — invalid combinations — error_code != 0, no 5xx","0"
"0","Hasaki.vn API Testing","0","Add To Cart","1","0","TC-C01: Add valid product — cart_id > 0, products_total >= 1","0"
"0","Hasaki.vn API Testing","0","Delete Item In Cart","1","0","TC-D13: [E2E] Add → Delete → verify cart state","0"
"0","Hasaki.vn API Testing","0","Update Product In Cart","1","0","TC-U06: Negative product_id — error_code != 0","0"
"0","Hasaki.vn API Testing","0","Search","3","0","TC-S21: Data-driven — non-existent keywords return 0 results","0"
"0","Hasaki.vn API Testing","0","Add To Cart","3","0","TC-C20: Data-driven — valid product/quantity combinations","0"
"0","Hasaki.vn API Testing","0","Search","1","0","TC-S02: Product fields — id/sku/name/price/image all present and valid","0"
"0","Hasaki.vn API Testing","0","Add To Cart","1","0","TC-C02: Success alert_message is non-blank and indicates success","0"
"0","Hasaki.vn API Testing","1","Delete Item In Cart","0","0","TC-D09: qty=0 and qty=-1 — must not 5xx; negative qty must error","0"
"0","Hasaki.vn API Testing","0","Search","1","0","TC-S05: Custom page size respected — size=5 returns at most 5 items","0"
"0","Hasaki.vn API Testing","0","Update Product In Cart","1","0","TC-U05: Large qty=999 — must not 5xx, if 200 then response is meaningful","0"
"0","Hasaki.vn API Testing","0","Update Product In Cart","1","0","TC-U13: Invalid CSRF token — no 5xx, documents CSRF behavior","0"
"0","Hasaki.vn API Testing","0","Authentication","1","0","TC-L08: Response time < 3000ms","0"
"0","Hasaki.vn API Testing","0","Update Product In Cart","1","0","TC-U09: qty=0 — server may treat as remove, must not 5xx","0"
"0","Hasaki.vn API Testing","0","Search","1","0","TC-S03: Meta fields present when has_meta_data=1","0"
"0","Hasaki.vn API Testing","1","Authentication","0","0","TC-L02: Login with remember=false","0"
"0","Hasaki.vn API Testing","0","Product Filter","1","0","TC-F13: Response time < 3000ms","0"
"0","Hasaki.vn API Testing","0","Update Product In Cart","1","0","TC-U12: Unauthenticated request — must not update successfully","0"
"0","Hasaki.vn API Testing","0","Delete Item In Cart","5","0","TC-D21: Data-driven — invalid inputs — error_code != 0, no 5xx","0"
"0","Hasaki.vn API Testing","1","Delete Item In Cart","0","0","TC-D04: Success alert_message is non-blank","0"
"0","Hasaki.vn API Testing","0","Product Filter","1","0","TC-F07: Non-existent keyword — error_code=0, empty/null filter list","0"
"0","Hasaki.vn API Testing","0","Add To Cart","1","0","TC-C11: Response time < 3000ms","0"
"0","Hasaki.vn API Testing","2","Product Filter","3","0","TC-F20: Data-driven — various keywords and platforms","0"
"0","Hasaki.vn API Testing","0","Delete Item In Cart","1","0","TC-D10: Empty/partial body — must not 5xx","0"
"0","Hasaki.vn API Testing","0","Add To Cart","1","0","TC-C10: Add-to-cart response schema validation","0"
"0","Hasaki.vn API Testing","1","Delete Item In Cart","1","0","TC-D20: Data-driven — valid product/quantity combinations","0"
"0","Hasaki.vn API Testing","0","Authentication","1","0","TC-L05: Fresh login without pre-existing session cookies","0"
"0","Hasaki.vn API Testing","0","Delete Item In Cart","1","0","TC-D07: Product not in cart — error_code != 0","0"
"0","Hasaki.vn API Testing","0","Delete Item In Cart","1","0","TC-D12: Invalid CSRF token — no 5xx, documents CSRF behavior","0"
"0","Hasaki.vn API Testing","1","Update Product In Cart","0","0","TC-U14: [E2E] Search → Add → Update qty — full cart update flow","0"
"0","Hasaki.vn API Testing","0","Add To Cart","1","0","TC-C09: [E2E] Filter → Search → Add first result to cart","0"
"0","Hasaki.vn API Testing","1","Authentication","0","0","TC-L01: Valid credentials","0"
"0","Hasaki.vn API Testing","0","Delete Item In Cart","1","0","TC-D14: Response time < 3000ms","0"
"0","Hasaki.vn API Testing","0","Product Filter","1","0","TC-F02: Filter item structure — key/name/type/sort_order/values all present","0"
"0","Hasaki.vn API Testing","0","Product Filter","1","0","TC-F01: Valid keyword — at least 1 filter returned","0"
"0","Hasaki.vn API Testing","0","Delete Item In Cart","1","0","TC-D08: product_id=0 (zero boundary) — must not 5xx","0"
"0","Hasaki.vn API Testing","1","Add To Cart","0","0","TC-C06: qty=0 — server must reject or return error_code != 0","0"
"0","Hasaki.vn API Testing","0","Authentication","1","0","TC-L07: Login response schema validation","0"
"0","Hasaki.vn API Testing","0","Product Filter","1","0","TC-F06: platform=web and platform=mobile both return HTTP 200","0"
"0","Hasaki.vn API Testing","0","Add To Cart","1","0","TC-C03: Adding same product twice — products_total must not decrease","0"
"0","Hasaki.vn API Testing","0","Product Filter","1","0","TC-F12: Filter response schema validation","0"
"0","Hasaki.vn API Testing","0","Update Product In Cart","1","0","TC-U02: Decrease qty 2 → 1 — still succeeds","0"
"0","Hasaki.vn API Testing","0","Product Filter","1","0","TC-F09: Invalid platform value — must not 5xx","0"
"0","Hasaki.vn API Testing","0","Product Filter","1","0","TC-F03: Filter values structure — key/label/value all present, product count >= 0","0"
"0","Hasaki.vn API Testing","0","Authentication","5","0","TC-L03: Invalid credentials — error_code != 0, no token issued","0"
"0","Hasaki.vn API Testing","0","Search","1","0","TC-S01: Valid keyword — products returned","0"
"0","Hasaki.vn API Testing","0","Update Product In Cart","1","0","TC-U11: Empty/partial body — must not 5xx","0"
"0","Hasaki.vn API Testing","0","Update Product In Cart","1","0","TC-U08: Product not in cart — error_code != 0","0"
"0","Hasaki.vn API Testing","0","Delete Item In Cart","1","0","TC-D02: Deleted product absent from remaining cart — grand_total >= 0","0"
"0","Hasaki.vn API Testing","1","Add To Cart","0","0","TC-C07: Negative quantity — server must reject or return error_code != 0","0"
"0","Hasaki.vn API Testing","0","Add To Cart","1","0","TC-C04: Negative product_id — error_code != 0, no cart_id","0"
"0","Hasaki.vn API Testing","0","Search","1","0","TC-S09: Empty keyword — HTTP 200 or 400, must not 5xx","0"
"0","Hasaki.vn API Testing","0","Delete Item In Cart","1","0","TC-D01: Delete valid product — error_code=0, response structure correct","0"
"0","Hasaki.vn API Testing","0","Product Filter","1","0","TC-F05: Filter key 'brand' must exist for keyword 'SON MOI'","0"
"0","Hasaki.vn API Testing","0","Add To Cart","1","0","TC-C05: Non-existent product_id — error_code != 0","0"
"0","Hasaki.vn API Testing","0","Product Filter","1","0","TC-F08: Empty keyword — must not 5xx","0"
"0","Hasaki.vn API Testing","1","Authentication","0","0","TC-L06: Brute-force — account must not lock after 5 bad-password attempts","0"
"0","Hasaki.vn API Testing","0","Add To Cart","1","0","TC-C08: Empty body — server rejects gracefully, no 5xx","0"
"0","Hasaki.vn API Testing","0","Update Product In Cart","1","0","TC-U15: Response time < 3000ms","0"
"0","Hasaki.vn API Testing","0","Product Filter","1","0","TC-F11: Filter key used as search param — search returns valid results","0"
"0","Hasaki.vn API Testing","0","Search","1","0","TC-S06: Vietnamese Unicode keyword — HTTP 200, no crash","0"
"0","Hasaki.vn API Testing","1","Update Product In Cart","0","0","TC-U03: Success alert_message is non-blank","0"
"0","Hasaki.vn API Testing","0","Delete Item In Cart","1","0","TC-D03: Delete one of two products — second product still remains","0"
"0","Hasaki.vn API Testing","0","Search","1","0","TC-S11: Search response schema validation","0"
"0","Hasaki.vn API Testing","0","Delete Item In Cart","1","0","TC-D11: Unauthenticated request — must not delete successfully","0"
"0","Hasaki.vn API Testing","0","Search","1","0","TC-S10: Invalid pagination params — page=0, size=0 — must not 5xx","0"
"0","Hasaki.vn API Testing","0","Delete Item In Cart","1","0","TC-D06: Non-existent product_id — error_code != 0","0"
"0","Hasaki.vn API Testing","0","Product Filter","1","0","TC-F04: sort_order is unique across all filter items","0"
"0","Hasaki.vn API Testing","1","Update Product In Cart","0","0","TC-U10: Negative quantity — error_code != 0","0"
"0","Hasaki.vn API Testing","0","Update Product In Cart","1","0","TC-U04: Sequential updates 1→2→3→5 all succeed","0"
"0","Hasaki.vn API Testing","0","Update Product In Cart","1","0","TC-U01: Update to qty=2 — error_code=0, data block present","0"
"0","Hasaki.vn API Testing","0","Product Filter","1","0","TC-F10: Missing required param 'q' — must not 5xx","0"
"0","Hasaki.vn API Testing","0","Delete Item In Cart","1","0","TC-D05: Negative product_id — error_code != 0","0"
