"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"A search that matches zero products should still return HTTP 200 with error_code=0 but an empty products list and products_total=0. Ensures no false error is raised for valid requests with no matches.","433","TC_S08_NonExistentKeywordReturnsEmpty","[FULL] Hasaki.vn API - All Tests","Mon May 25 14:56:57 UTC 2026","passed","Mon May 25 14:56:57 UTC 2026","com.testScenarios.SearchTest","Full - Search (All Groups)","com.testScenarios.SearchTest","TC_S08_NonExistentKeywordReturnsEmpty"
"Sends a valid login request with no form_key cookie (CSRF token). If server returns error_code=0 the CSRF gap is confirmed and logged as SEC-001. Test does NOT hard-fail — it documents the finding so the suite continues. Review the Allure report 'warn' log entry after each run.","457","TC_L04_LoginWithoutFormKey","[FULL] Hasaki.vn API - All Tests","Mon May 25 14:56:47 UTC 2026","passed","Mon May 25 14:56:47 UTC 2026","com.testScenarios.LoginTest","Full - Login (All Groups)","com.testScenarios.LoginTest","TC_L04_LoginWithoutFormKey"
"Search is a high-frequency endpoint called on every user keystroke (debounced). A full-page search response must complete within 3000ms to maintain UX quality.","61","TC_S12_SearchResponseTime","[FULL] Hasaki.vn API - All Tests","Mon May 25 14:56:59 UTC 2026","passed","Mon May 25 14:56:59 UTC 2026","com.testScenarios.SearchTest","Full - Search (All Groups)","com.testScenarios.SearchTest","TC_S12_SearchResponseTime"
"Parameterised positive test: each row in SearchData.json supplies a keyword, pagination params, and an expectedMin product count. Asserts error_code=0, products_total >= expectedMin, and list size <= requested size. Covers diverse keyword types (brand names, categories, short strings) in bulk.","614","TC_S20_DataDriven_ValidKeywords","[FULL] Hasaki.vn API - All Tests","Mon May 25 14:56:59 UTC 2026","passed","Mon May 25 14:56:59 UTC 2026","com.testScenarios.SearchTest","Full - Search (All Groups)","com.testScenarios.SearchTest","TC_S20_DataDriven_ValidKeywords"
"With has_meta_data=0 the meta_data block may be absent, but the API must still return a successful response with a non-empty product list. Guards against the server crashing when the meta block is skipped.","563","TC_S07_NoMetaDataFlagStillValid","[FULL] Hasaki.vn API - All Tests","Mon May 25 14:56:56 UTC 2026","passed","Mon May 25 14:56:57 UTC 2026","com.testScenarios.SearchTest","Full - Search (All Groups)","com.testScenarios.SearchTest","TC_S07_NoMetaDataFlagStillValid"
"Fetches page 1 and page 2 for the same keyword and asserts the two product ID sets are disjoint. Catches off-by-one errors in the pagination offset calculation on the server.","592","TC_S04_PaginationNoOverlap","[FULL] Hasaki.vn API - All Tests","Mon May 25 14:56:55 UTC 2026","passed","Mon May 25 14:56:56 UTC 2026","com.testScenarios.SearchTest","Full - Search (All Groups)","com.testScenarios.SearchTest","TC_S04_PaginationNoOverlap"
"Parameterised positive test: each row in UpdateCartData.json provides a product id and quantity. ensureInCart() is called per row to guarantee the product is present. Every combination must return error_code=0 with a non-null data block.","1037","TC_U20_DataDriven_ValidData","[FULL] Hasaki.vn API - All Tests","Mon May 25 14:57:40 UTC 2026","passed","Mon May 25 14:57:41 UTC 2026","com.testScenarios.UpdateCartTest","Full - Update Cart (All Groups)","com.testScenarios.UpdateCartTest","TC_U20_DataDriven_ValidData"
"Parameterised negative test: each row in AddToCartInvalidData.json contains an invalid combination (non-existent id, zero qty, negative qty, etc.). Every row must produce HTTP < 500; if HTTP 200, error_code must be non-zero and error_message must be non-empty.","483","TC_C21_DataDriven_InvalidData","[FULL] Hasaki.vn API - All Tests","Mon May 25 14:57:21 UTC 2026","failed","Mon May 25 14:57:22 UTC 2026","com.testScenarios.AddToCartTest","Full - Add To Cart (All Groups)","com.testScenarios.AddToCartTest","TC_C21_DataDriven_InvalidData"
"product_id=9999999 is a positive integer that does not exist. Server must look it up, fail gracefully, and return error_code != 0.","405","TC_U07_NonExistentProductId","[FULL] Hasaki.vn API - All Tests","Mon May 25 14:57:32 UTC 2026","passed","Mon May 25 14:57:32 UTC 2026","com.testScenarios.UpdateCartTest","Full - Update Cart (All Groups)","com.testScenarios.UpdateCartTest","TC_U07_NonExistentProductId"
"Parameterised negative test: each row in UpdateCartInvalidData.json contains an invalid combination (non-existent product, negative qty, etc.). Every row must return HTTP < 500; if HTTP 200, error_code must be non-zero and error_message must be non-empty.","414","TC_U21_DataDriven_InvalidData","[FULL] Hasaki.vn API - All Tests","Mon May 25 14:57:44 UTC 2026","passed","Mon May 25 14:57:44 UTC 2026","com.testScenarios.UpdateCartTest","Full - Update Cart (All Groups)","com.testScenarios.UpdateCartTest","TC_U21_DataDriven_InvalidData"
"Core smoke test: adding a known valid product with qty=1 must return error_code=0, a positive cart_id, and products_total >= 1. This is the fundamental happy-path assertion for the entire cart feature.","1156","TC_C01_AddValidProduct","[FULL] Hasaki.vn API - All Tests","Mon May 25 14:57:12 UTC 2026","passed","Mon May 25 14:57:13 UTC 2026","com.testScenarios.AddToCartTest","Full - Add To Cart (All Groups)","com.testScenarios.AddToCartTest","TC_C01_AddValidProduct"
"Full cart lifecycle flow:
  Step 1 — POST /add-to-cart: add PRODUCT_VALID with qty=1.
  Step 2 — POST /delete-product: remove the same product.
  Step 3 — Assert: deleted product absent from data.products, grand_total is non-null and >= 0.
This is the canonical cart lifecycle smoke test that must pass before any checkout or payment flow tests are run.","1110","TC_D13_E2E_AddThenDeleteVerifyState","[FULL] Hasaki.vn API - All Tests","Mon May 25 14:58:00 UTC 2026","passed","Mon May 25 14:58:01 UTC 2026","com.testScenarios.DeleteItemInCartTest","Full - Delete Cart Item (All Groups)","com.testScenarios.DeleteItemInCartTest","TC_D13_E2E_AddThenDeleteVerifyState"
"product_id=-999 is an impossible value and must be rejected. Server must return error_code != 0 with a non-empty error_message — never a 5xx from unvalidated DB lookup.","401","TC_U06_NegativeProductId","[FULL] Hasaki.vn API - All Tests","Mon May 25 14:57:31 UTC 2026","passed","Mon May 25 14:57:32 UTC 2026","com.testScenarios.UpdateCartTest","Full - Update Cart (All Groups)","com.testScenarios.UpdateCartTest","TC_U06_NegativeProductId"
"Parameterised negative test: each row in UpdateCartInvalidData.json contains an invalid combination (non-existent product, negative qty, etc.). Every row must return HTTP < 500; if HTTP 200, error_code must be non-zero and error_message must be non-empty.","600","TC_U21_DataDriven_InvalidData","[FULL] Hasaki.vn API - All Tests","Mon May 25 14:57:45 UTC 2026","failed","Mon May 25 14:57:45 UTC 2026","com.testScenarios.UpdateCartTest","Full - Update Cart (All Groups)","com.testScenarios.UpdateCartTest","TC_U21_DataDriven_InvalidData"
"Parameterised negative test: each row in SearchInvalidData.json contains a keyword that must produce 0 matching products (gibberish strings, impossible combinations). Server must still return error_code=0 with an empty result set — not an error.","434","TC_S21_DataDriven_InvalidKeywords","[FULL] Hasaki.vn API - All Tests","Mon May 25 14:57:02 UTC 2026","passed","Mon May 25 14:57:02 UTC 2026","com.testScenarios.SearchTest","Full - Search (All Groups)","com.testScenarios.SearchTest","TC_S21_DataDriven_InvalidKeywords"
"Parameterised negative test: each row in UpdateCartInvalidData.json contains an invalid combination (non-existent product, negative qty, etc.). Every row must return HTTP < 500; if HTTP 200, error_code must be non-zero and error_message must be non-empty.","408","TC_U21_DataDriven_InvalidData","[FULL] Hasaki.vn API - All Tests","Mon May 25 14:57:45 UTC 2026","passed","Mon May 25 14:57:46 UTC 2026","com.testScenarios.UpdateCartTest","Full - Update Cart (All Groups)","com.testScenarios.UpdateCartTest","TC_U21_DataDriven_InvalidData"
"Parameterised positive test: each row in AddToCartData.json provides a product id and quantity. Every combination must return error_code=0, a positive cart_id, and products_total >= 1. Covers multiple product types and boundary quantities.","490","TC_C20_DataDriven_ValidData","[FULL] Hasaki.vn API - All Tests","Mon May 25 14:57:19 UTC 2026","passed","Mon May 25 14:57:19 UTC 2026","com.testScenarios.AddToCartTest","Full - Add To Cart (All Groups)","com.testScenarios.AddToCartTest","TC_C20_DataDriven_ValidData"
