"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Parameterised positive test: each row in UpdateCartData.json provides a product id and quantity. ensureInCart() is called per row to guarantee the product is present. Every combination must return error_code=0 with a non-null data block.","1946","TC_U20_DataDriven_ValidData","[DATA-DRIVEN] Hasaki.vn API - JSON Data Provider Tests","Mon May 25 08:33:09 UTC 2026","passed","Mon May 25 08:33:11 UTC 2026","com.testScenarios.UpdateCartTest","Data-Driven - Update Cart (Multiple Scenarios)","com.testScenarios.UpdateCartTest","TC_U20_DataDriven_ValidData"
"Parameterised positive test: each row in SearchData.json supplies a keyword, pagination params, and an expectedMin product count. Asserts error_code=0, products_total >= expectedMin, and list size <= requested size. Covers diverse keyword types (brand names, categories, short strings) in bulk.","792","TC_S20_DataDriven_ValidKeywords","[DATA-DRIVEN] Hasaki.vn API - JSON Data Provider Tests","Mon May 25 08:33:00 UTC 2026","passed","Mon May 25 08:33:01 UTC 2026","com.testScenarios.SearchTest","Data-Driven - Search (Valid + Invalid Keywords)","com.testScenarios.SearchTest","TC_S20_DataDriven_ValidKeywords"
"Parameterised positive test: each row in FilterData.json supplies a keyword and platform value. Asserts error_code=0, non-empty filter list, and all items have key, name, and values fields. Covers category keywords, brand keywords, and both platform types in bulk.","521","TC_F20_DataDriven_ValidFilters","[DATA-DRIVEN] Hasaki.vn API - JSON Data Provider Tests","Mon May 25 08:33:03 UTC 2026","passed","Mon May 25 08:33:04 UTC 2026","com.testScenarios.FilterTest","Data-Driven - Filter (Multiple Params)","com.testScenarios.FilterTest","TC_F20_DataDriven_ValidFilters"
"Parameterised positive test: each row in UpdateCartData.json provides a product id and quantity. ensureInCart() is called per row to guarantee the product is present. Every combination must return error_code=0 with a non-null data block.","1431","TC_U20_DataDriven_ValidData","[DATA-DRIVEN] Hasaki.vn API - JSON Data Provider Tests","Mon May 25 08:33:13 UTC 2026","passed","Mon May 25 08:33:14 UTC 2026","com.testScenarios.UpdateCartTest","Data-Driven - Update Cart (Multiple Scenarios)","com.testScenarios.UpdateCartTest","TC_U20_DataDriven_ValidData"
"Parameterised positive test: each row in AddToCartData.json provides a product id and quantity. Every combination must return error_code=0, a positive cart_id, and products_total >= 1. Covers multiple product types and boundary quantities.","947","TC_C20_DataDriven_ValidData","[DATA-DRIVEN] Hasaki.vn API - JSON Data Provider Tests","Mon May 25 08:33:05 UTC 2026","passed","Mon May 25 08:33:06 UTC 2026","com.testScenarios.AddToCartTest","Data-Driven - Add To Cart (Multiple Products/Quantities)","com.testScenarios.AddToCartTest","TC_C20_DataDriven_ValidData"
"Parameterised negative test: each row in DeleteCartInvalidData.json contains an invalid combination (non-existent product, negative product_id, etc.). Every row must return HTTP < 500; if HTTP 200, error_code must be non-zero and error_message must be non-empty.","881","TC_D21_DataDriven_InvalidData","[DATA-DRIVEN] Hasaki.vn API - JSON Data Provider Tests","Mon May 25 08:33:18 UTC 2026","passed","Mon May 25 08:33:19 UTC 2026","com.testScenarios.DeleteItemInCartTest","Data-Driven - Delete Cart (Multiple Items)","com.testScenarios.DeleteItemInCartTest","TC_D21_DataDriven_InvalidData"
"Parameterised positive test: each row in DeleteCartData.json provides a product id and quantity. ensureInCart() is called per row before the delete. Every combination must return error_code=0 and the deleted product must be absent from the remaining data.products list.","1058","TC_D20_DataDriven_ValidData","[DATA-DRIVEN] Hasaki.vn API - JSON Data Provider Tests","Mon May 25 08:33:16 UTC 2026","passed","Mon May 25 08:33:17 UTC 2026","com.testScenarios.DeleteItemInCartTest","Data-Driven - Delete Cart (Multiple Items)","com.testScenarios.DeleteItemInCartTest","TC_D20_DataDriven_ValidData"
"Parameterised positive test: each row in SearchData.json supplies a keyword, pagination params, and an expectedMin product count. Asserts error_code=0, products_total >= expectedMin, and list size <= requested size. Covers diverse keyword types (brand names, categories, short strings) in bulk.","737","TC_S20_DataDriven_ValidKeywords","[DATA-DRIVEN] Hasaki.vn API - JSON Data Provider Tests","Mon May 25 08:32:59 UTC 2026","passed","Mon May 25 08:33:00 UTC 2026","com.testScenarios.SearchTest","Data-Driven - Search (Valid + Invalid Keywords)","com.testScenarios.SearchTest","TC_S20_DataDriven_ValidKeywords"
"Parameterised positive test: each row in SearchData.json supplies a keyword, pagination params, and an expectedMin product count. Asserts error_code=0, products_total >= expectedMin, and list size <= requested size. Covers diverse keyword types (brand names, categories, short strings) in bulk.","700","TC_S20_DataDriven_ValidKeywords","[DATA-DRIVEN] Hasaki.vn API - JSON Data Provider Tests","Mon May 25 08:32:58 UTC 2026","passed","Mon May 25 08:32:59 UTC 2026","com.testScenarios.SearchTest","Data-Driven - Search (Valid + Invalid Keywords)","com.testScenarios.SearchTest","TC_S20_DataDriven_ValidKeywords"
"Parameterised negative test: each row in AddToCartInvalidData.json contains an invalid combination (non-existent id, zero qty, negative qty, etc.). Every row must produce HTTP < 500; if HTTP 200, error_code must be non-zero and error_message must be non-empty.","904","TC_C21_DataDriven_InvalidData","[DATA-DRIVEN] Hasaki.vn API - JSON Data Provider Tests","Mon May 25 08:33:08 UTC 2026","failed","Mon May 25 08:33:09 UTC 2026","com.testScenarios.AddToCartTest","Data-Driven - Add To Cart (Multiple Products/Quantities)","com.testScenarios.AddToCartTest","TC_C21_DataDriven_InvalidData"
"Parameterised negative test: each row in DeleteCartInvalidData.json contains an invalid combination (non-existent product, negative product_id, etc.). Every row must return HTTP < 500; if HTTP 200, error_code must be non-zero and error_message must be non-empty.","557","TC_D21_DataDriven_InvalidData","[DATA-DRIVEN] Hasaki.vn API - JSON Data Provider Tests","Mon May 25 08:33:20 UTC 2026","passed","Mon May 25 08:33:21 UTC 2026","com.testScenarios.DeleteItemInCartTest","Data-Driven - Delete Cart (Multiple Items)","com.testScenarios.DeleteItemInCartTest","TC_D21_DataDriven_InvalidData"
"Parameterised positive test: each row in FilterData.json supplies a keyword and platform value. Asserts error_code=0, non-empty filter list, and all items have key, name, and values fields. Covers category keywords, brand keywords, and both platform types in bulk.","491","TC_F20_DataDriven_ValidFilters","[DATA-DRIVEN] Hasaki.vn API - JSON Data Provider Tests","Mon May 25 08:33:03 UTC 2026","failed","Mon May 25 08:33:03 UTC 2026","com.testScenarios.FilterTest","Data-Driven - Filter (Multiple Params)","com.testScenarios.FilterTest","TC_F20_DataDriven_ValidFilters"
"Parameterised positive test: each row in FilterData.json supplies a keyword and platform value. Asserts error_code=0, non-empty filter list, and all items have key, name, and values fields. Covers category keywords, brand keywords, and both platform types in bulk.","420","TC_F20_DataDriven_ValidFilters","[DATA-DRIVEN] Hasaki.vn API - JSON Data Provider Tests","Mon May 25 08:33:04 UTC 2026","passed","Mon May 25 08:33:04 UTC 2026","com.testScenarios.FilterTest","Data-Driven - Filter (Multiple Params)","com.testScenarios.FilterTest","TC_F20_DataDriven_ValidFilters"
"Parameterised negative test: each row in SearchInvalidData.json contains a keyword that must produce 0 matching products (gibberish strings, impossible combinations). Server must still return error_code=0 with an empty result set — not an error.","404","TC_S21_DataDriven_InvalidKeywords","[DATA-DRIVEN] Hasaki.vn API - JSON Data Provider Tests","Mon May 25 08:33:01 UTC 2026","passed","Mon May 25 08:33:01 UTC 2026","com.testScenarios.SearchTest","Data-Driven - Search (Valid + Invalid Keywords)","com.testScenarios.SearchTest","TC_S21_DataDriven_InvalidKeywords"
"Parameterised negative test: each row in UpdateCartInvalidData.json contains an invalid combination (non-existent product, negative qty, etc.). Every row must return HTTP < 500; if HTTP 200, error_code must be non-zero and error_message must be non-empty.","497","TC_U21_DataDriven_InvalidData","[DATA-DRIVEN] Hasaki.vn API - JSON Data Provider Tests","Mon May 25 08:33:15 UTC 2026","failed","Mon May 25 08:33:15 UTC 2026","com.testScenarios.UpdateCartTest","Data-Driven - Update Cart (Multiple Scenarios)","com.testScenarios.UpdateCartTest","TC_U21_DataDriven_InvalidData"
"Parameterised positive test: each row in SearchData.json supplies a keyword, pagination params, and an expectedMin product count. Asserts error_code=0, products_total >= expectedMin, and list size <= requested size. Covers diverse keyword types (brand names, categories, short strings) in bulk.","1092","TC_S20_DataDriven_ValidKeywords","[DATA-DRIVEN] Hasaki.vn API - JSON Data Provider Tests","Mon May 25 08:32:57 UTC 2026","passed","Mon May 25 08:32:58 UTC 2026","com.testScenarios.SearchTest","Data-Driven - Search (Valid + Invalid Keywords)","com.testScenarios.SearchTest","TC_S20_DataDriven_ValidKeywords"
"Parameterised negative test: each row in AddToCartInvalidData.json contains an invalid combination (non-existent id, zero qty, negative qty, etc.). Every row must produce HTTP < 500; if HTTP 200, error_code must be non-zero and error_message must be non-empty.","342","TC_C21_DataDriven_InvalidData","[DATA-DRIVEN] Hasaki.vn API - JSON Data Provider Tests","Mon May 25 08:33:09 UTC 2026","passed","Mon May 25 08:33:09 UTC 2026","com.testScenarios.AddToCartTest","Data-Driven - Add To Cart (Multiple Products/Quantities)","com.testScenarios.AddToCartTest","TC_C21_DataDriven_InvalidData"
"Parameterised negative test: each row in AddToCartInvalidData.json contains an invalid combination (non-existent id, zero qty, negative qty, etc.). Every row must produce HTTP < 500; if HTTP 200, error_code must be non-zero and error_message must be non-empty.","931","TC_C21_DataDriven_InvalidData","[DATA-DRIVEN] Hasaki.vn API - JSON Data Provider Tests","Mon May 25 08:33:07 UTC 2026","failed","Mon May 25 08:33:08 UTC 2026","com.testScenarios.AddToCartTest","Data-Driven - Add To Cart (Multiple Products/Quantities)","com.testScenarios.AddToCartTest","TC_C21_DataDriven_InvalidData"
